,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
JUND,2.76E-40,2.376072413,0.345,0.111,3.78E-36,1,JUND
NCF1,3.37E-40,1.865217525,0.368,0.121,4.63E-36,1,NCF1
C10orf54,1.93E-39,1.210664586,0.601,0.322,2.65E-35,1,C10orf54
RP11-290F20.3,3.39E-39,1.663801466,0.291,0.076,4.65E-35,1,RP11-290F20.3
SAT2,4.27E-39,2.143125399,0.37,0.127,5.86E-35,1,SAT2
GLIPR2,1.21E-37,1.55659687,0.443,0.176,1.65E-33,1,GLIPR2
FAM26F,2.30E-37,1.315973238,0.457,0.178,3.15E-33,1,FAM26F
MIR24-2,2.55E-37,2.28351021,0.272,0.075,3.49E-33,1,MIR24-2
BID,3.65E-37,1.569541242,0.422,0.159,5.00E-33,1,BID
MYL6,3.68E-37,0.685737121,0.942,0.833,5.05E-33,1,MYL6
TMEM205,4.18E-37,2.085247934,0.279,0.076,5.73E-33,1,TMEM205
RHOB,1.18E-36,2.247257877,0.299,0.092,1.62E-32,1,RHOB
LAMTOR1,1.11E-35,1.017345595,0.574,0.293,1.52E-31,1,LAMTOR1
CLTA,3.39E-35,1.33607875,0.516,0.242,4.65E-31,1,CLTA
HLA-DPB1,5.20E-35,0.630709427,0.761,0.465,7.13E-31,1,HLA-DPB1
GSTO1,9.03E-35,1.269210763,0.505,0.245,1.24E-30,1,GSTO1
LY6E,2.31E-34,0.818018706,0.827,0.633,3.17E-30,1,LY6E
GNAI2,4.68E-34,1.554635479,0.428,0.186,6.42E-30,1,GNAI2
RHOG,9.87E-34,1.26894312,0.622,0.339,1.35E-29,1,RHOG
ANXA5,1.32E-33,1.291604573,0.528,0.259,1.81E-29,1,ANXA5
CARD16,1.35E-33,1.283966151,0.505,0.238,1.85E-29,1,CARD16
ZFP36,4.68E-33,0.803574576,0.85,0.674,6.42E-29,1,ZFP36
DYNLT1,4.71E-33,1.463366316,0.385,0.149,6.46E-29,1,DYNLT1
TPI1,7.64E-33,0.959863242,0.715,0.462,1.05E-28,1,TPI1
BNIP3L,1.34E-32,1.74120893,0.347,0.127,1.83E-28,1,BNIP3L
SCPEP1,7.59E-32,1.962341233,0.304,0.1,1.04E-27,1,SCPEP1
CECR1,9.72E-32,1.893718148,0.258,0.075,1.33E-27,1,CECR1
GPX4,1.23E-31,1.003581732,0.732,0.503,1.69E-27,1,GPX4
CD63,2.26E-31,1.046366972,0.561,0.297,3.10E-27,1,CD63
EFHD2,2.69E-31,1.46794646,0.383,0.152,3.69E-27,1,EFHD2
C20orf27,3.94E-31,2.198633636,0.287,0.094,5.40E-27,1,C20orf27
ATP6V0D1,1.81E-29,1.600680723,0.345,0.135,2.49E-25,1,ATP6V0D1
SOD2,8.73E-28,1.563260798,0.378,0.164,1.20E-23,1,SOD2
SERP1,5.17E-27,0.725618101,0.744,0.511,7.10E-23,1,SERP1
COMT,8.02E-27,1.635342076,0.314,0.121,1.10E-22,1,COMT
NOP10,8.73E-27,1.276586448,0.489,0.253,1.20E-22,1,NOP10
TIMM13,1.20E-26,1.306568785,0.385,0.17,1.65E-22,1,TIMM13
NDUFS7,1.21E-26,1.317080482,0.486,0.25,1.66E-22,1,NDUFS7
GLUL,1.34E-26,1.826219271,0.262,0.091,1.84E-22,1,GLUL
ARRB2,1.85E-26,1.650946135,0.445,0.216,2.54E-22,1,ARRB2
ATOX1,1.93E-26,1.663176118,0.258,0.086,2.65E-22,1,ATOX1
THEMIS2,2.65E-26,1.84031877,0.256,0.086,3.64E-22,1,THEMIS2
SUPT4H1,5.91E-26,1.201028189,0.474,0.248,8.10E-22,1,SUPT4H1
CLIC1,1.05E-25,0.578926883,0.811,0.608,1.44E-21,1,CLIC1
LAMTOR2,1.33E-25,1.25656513,0.397,0.185,1.82E-21,1,LAMTOR2
SLC25A5,2.14E-25,1.027837225,0.69,0.469,2.93E-21,1,SLC25A5
COX6B1,3.76E-25,0.792764066,0.742,0.539,5.15E-21,1,COX6B1
NAGK,7.31E-25,1.854717709,0.26,0.094,1.00E-20,1,NAGK
H3F3A,1.32E-24,0.956534434,0.58,0.342,1.81E-20,1,H3F3A
ARPC2,1.43E-24,0.535885543,0.892,0.782,1.96E-20,1,ARPC2
CSTB,2.46E-24,0.995443859,0.559,0.329,3.37E-20,1,CSTB
ZYX,2.96E-24,1.308534141,0.299,0.117,4.06E-20,1,ZYX
NDUFA11,3.68E-24,0.951030205,0.599,0.372,5.05E-20,1,NDUFA11
MS4A7,3.88E-24,0.97419752,0.258,0.087,5.32E-20,1,MS4A7
WDR83OS,5.19E-24,0.965186021,0.53,0.306,7.11E-20,1,WDR83OS
BST2,6.57E-24,0.960866036,0.638,0.407,9.01E-20,1,BST2
SAMHD1,8.57E-24,1.49921465,0.41,0.206,1.18E-19,1,SAMHD1
HSBP1,1.78E-23,1.367077092,0.314,0.128,2.44E-19,1,HSBP1
MT2A,2.89E-23,1.001276062,0.499,0.277,3.97E-19,1,MT2A
BRK1,4.53E-23,0.675739641,0.723,0.515,6.22E-19,1,BRK1
OAZ2,7.35E-23,1.51740495,0.316,0.129,1.01E-18,1,OAZ2
NINJ1,2.01E-22,1.437522975,0.301,0.123,2.75E-18,1,NINJ1
POLE4,2.68E-22,1.328785304,0.343,0.157,3.68E-18,1,POLE4
TNFSF10,2.40E-21,1.273901263,0.376,0.181,3.29E-17,1,TNFSF10
WARS,2.74E-21,1.53983379,0.268,0.107,3.75E-17,1,WARS
NAPRT1,3.17E-21,1.96238099,0.252,0.097,4.35E-17,1,NAPRT1
ATP5D,9.65E-21,0.679138531,0.696,0.51,1.32E-16,1,ATP5D
COX8A,1.90E-20,0.920564135,0.557,0.349,2.60E-16,1,COX8A
HLA-DMB,4.50E-20,0.791633353,0.335,0.147,6.17E-16,1,HLA-DMB
PKM,5.12E-20,0.79817889,0.599,0.387,7.03E-16,1,PKM
ITGB2,8.23E-20,0.644820421,0.649,0.432,1.13E-15,1,ITGB2
GLIPR1,1.58E-19,1.138232921,0.358,0.174,2.17E-15,1,GLIPR1
CAPNS1,2.00E-19,1.458153898,0.252,0.102,2.74E-15,1,CAPNS1
RHOA,3.85E-19,0.650537957,0.703,0.537,5.28E-15,1,RHOA
PFN1,4.28E-19,0.321334567,0.963,0.942,5.86E-15,1,PFN1
SLC25A6,1.04E-18,0.497696424,0.884,0.822,1.43E-14,1,SLC25A6
HIGD2A,1.31E-18,0.81325418,0.647,0.461,1.80E-14,1,HIGD2A
RILPL2,1.58E-18,1.512175307,0.328,0.16,2.17E-14,1,RILPL2
POU2F2,2.06E-18,1.328630619,0.289,0.131,2.82E-14,1,POU2F2
CASP1,2.16E-18,1.038100685,0.43,0.236,2.96E-14,1,CASP1
EMP3,3.42E-18,0.655856017,0.83,0.713,4.69E-14,1,EMP3
POLR2L,5.06E-18,0.922150005,0.52,0.323,6.94E-14,1,POLR2L
SDCBP,5.30E-18,1.072836926,0.397,0.21,7.27E-14,1,SDCBP
RNH1,6.35E-18,0.910927925,0.466,0.273,8.71E-14,1,RNH1
TNFRSF1B,3.02E-17,1.792555198,0.262,0.116,4.14E-13,1,TNFRSF1B
SERPINB6,9.41E-17,1.134074426,0.326,0.165,1.29E-12,1,SERPINB6
TMEM219,1.13E-16,1.122603998,0.422,0.243,1.55E-12,1,TMEM219
H3F3B,1.72E-16,0.473810666,0.992,0.955,2.35E-12,1,H3F3B
NDUFB1,1.72E-16,1.196487753,0.308,0.15,2.36E-12,1,NDUFB1
SPG21,2.06E-16,1.242528775,0.306,0.147,2.82E-12,1,SPG21
UQCRFS1,2.36E-16,0.929672857,0.439,0.255,3.23E-12,1,UQCRFS1
STX10,4.23E-16,1.496657777,0.264,0.121,5.80E-12,1,STX10
NDUFS6,6.37E-16,0.975975044,0.368,0.2,8.74E-12,1,NDUFS6
UQCR11.1,6.45E-16,0.742776876,0.701,0.539,8.84E-12,1,UQCR11.1
SEC11A,7.25E-16,1.02352939,0.48,0.297,9.94E-12,1,SEC11A
ATG3,7.83E-16,0.961957191,0.345,0.183,1.07E-11,1,ATG3
PLSCR1,8.40E-16,1.350152613,0.256,0.115,1.15E-11,1,PLSCR1
GRB2,2.04E-15,0.93624337,0.31,0.157,2.80E-11,1,GRB2
COX4I1,2.12E-15,0.424299857,0.938,0.897,2.90E-11,1,COX4I1
LAP3,5.08E-15,1.244246154,0.268,0.13,6.96E-11,1,LAP3
PSMB3,8.75E-15,0.766617307,0.524,0.351,1.20E-10,1,PSMB3
UBA52,1.08E-14,0.272241696,0.992,0.972,1.48E-10,1,UBA52
EPSTI1,1.55E-14,1.082105419,0.301,0.156,2.12E-10,1,EPSTI1
REEP5,2.00E-14,0.797362819,0.403,0.231,2.74E-10,1,REEP5
PARVG,2.14E-14,1.160753848,0.266,0.127,2.93E-10,1,PARVG
YBX1,3.10E-14,0.519234698,0.863,0.808,4.25E-10,1,YBX1
CASP4,3.78E-14,1.10910658,0.455,0.286,5.18E-10,1,CASP4
ATP5E,4.47E-14,0.446776488,0.848,0.731,6.13E-10,1,ATP5E
UQCRC1,4.58E-14,1.295839148,0.304,0.157,6.28E-10,1,UQCRC1
COX5B,6.97E-14,0.819720598,0.628,0.476,9.55E-10,1,COX5B
BLOC1S1,7.05E-14,0.589251168,0.459,0.28,9.67E-10,1,BLOC1S1
GNB2,7.62E-14,0.805006669,0.399,0.237,1.04E-09,1,GNB2
ZNHIT1,1.02E-13,0.985201628,0.405,0.246,1.40E-09,1,ZNHIT1
RNF7,1.19E-13,0.809809167,0.385,0.222,1.64E-09,1,RNF7
HMGB2,1.31E-13,0.739514513,0.459,0.293,1.80E-09,1,HMGB2
VAMP5,2.00E-13,1.132804713,0.345,0.198,2.74E-09,1,VAMP5
UBE2L6,2.05E-13,0.901451375,0.482,0.316,2.82E-09,1,UBE2L6
CHMP4B,2.61E-13,0.969668598,0.293,0.151,3.58E-09,1,CHMP4B
C11orf31,2.88E-13,0.736357197,0.582,0.416,3.95E-09,1,C11orf31
HSD17B11,2.91E-13,1.037367539,0.397,0.241,3.99E-09,1,HSD17B11
IFI27L2,3.43E-13,1.101888628,0.277,0.139,4.70E-09,1,IFI27L2
CD97,7.84E-13,0.913947414,0.347,0.198,1.08E-08,1,CD97
EIF3K,1.02E-12,0.440495314,0.811,0.727,1.41E-08,1,EIF3K
MCL1,1.03E-12,0.810481992,0.536,0.381,1.41E-08,1,MCL1
ARF5,1.32E-12,0.781041936,0.43,0.269,1.81E-08,1,ARF5
EIF4E2,1.46E-12,1.13193855,0.258,0.134,2.01E-08,1,EIF4E2
EIF1,1.83E-12,0.251397644,0.992,0.982,2.51E-08,1,EIF1
MRPL23,2.25E-12,0.945299051,0.416,0.262,3.09E-08,1,MRPL23
PRDX5,2.84E-12,0.748568012,0.484,0.325,3.89E-08,1,PRDX5
MYADM,2.85E-12,1.385609179,0.297,0.166,3.91E-08,1,MYADM
DOK2,3.66E-12,0.810780092,0.362,0.215,5.02E-08,1,DOK2
LSMD1,4.15E-12,1.102790845,0.285,0.152,5.69E-08,1,LSMD1
DUSP1,4.69E-12,0.44707863,0.944,0.879,6.43E-08,1,DUSP1
PPT1,5.55E-12,1.27376693,0.308,0.167,7.61E-08,1,PPT1
IFI35,5.63E-12,1.108057307,0.289,0.158,7.72E-08,1,IFI35
PSMA7,6.04E-12,0.617896131,0.676,0.538,8.29E-08,1,PSMA7
NDUFA13,6.85E-12,0.694780482,0.588,0.433,9.40E-08,1,NDUFA13
GNAS,7.38E-12,0.70833574,0.428,0.271,1.01E-07,1,GNAS
RNF181,1.10E-11,0.844341362,0.331,0.193,1.50E-07,1,RNF181
GNG5,1.60E-11,0.86530385,0.412,0.267,2.19E-07,1,GNG5
PPP4C,2.57E-11,0.8027049,0.416,0.264,3.53E-07,1,PPP4C
VASP,2.66E-11,0.639448542,0.407,0.246,3.65E-07,1,VASP
TGFB1,3.23E-11,1.154652791,0.308,0.176,4.43E-07,1,TGFB1
PHPT1,3.39E-11,0.929781309,0.264,0.142,4.65E-07,1,PHPT1
OAS1,4.22E-11,0.704612128,0.306,0.17,5.79E-07,1,OAS1
ID2,5.66E-11,0.476986271,0.518,0.358,7.76E-07,1,ID2
SNF8,6.05E-11,1.175418105,0.295,0.168,8.30E-07,1,SNF8
NAAA,8.46E-11,1.115236386,0.281,0.159,1.16E-06,1,NAAA
C14orf2,1.05E-10,1.006234841,0.266,0.147,1.44E-06,1,C14orf2
GMFG,1.06E-10,0.336041734,0.786,0.681,1.45E-06,1,GMFG
NDUFB11,1.70E-10,0.607577991,0.53,0.38,2.33E-06,1,NDUFB11
SNX3,1.91E-10,0.433292243,0.584,0.44,2.62E-06,1,SNX3
MT-ND3,4.92E-10,0.827422153,0.312,0.183,6.75E-06,1,MT-ND3
FIBP,1.09E-09,1.135208702,0.266,0.152,1.50E-05,1,FIBP
CAST,1.18E-09,0.860723871,0.26,0.143,1.62E-05,1,CAST
CLTB,1.40E-09,0.887742299,0.291,0.169,1.92E-05,1,CLTB
SMS,1.69E-09,0.777951196,0.262,0.147,2.31E-05,1,SMS
KLF6,1.84E-09,0.424556112,0.767,0.624,2.52E-05,1,KLF6
DYNLL1,1.87E-09,0.479054425,0.455,0.314,2.57E-05,1,DYNLL1
CYC1,2.76E-09,0.714947057,0.297,0.171,3.79E-05,1,CYC1
ATP5I,2.78E-09,0.914561361,0.389,0.267,3.81E-05,1,ATP5I
ANAPC11,2.84E-09,0.744870065,0.356,0.223,3.89E-05,1,ANAPC11
SF3B5,4.29E-09,0.891059199,0.501,0.369,5.88E-05,1,SF3B5
COX17,5.64E-09,0.815998622,0.285,0.172,7.74E-05,1,COX17
COPE,5.86E-09,0.662577206,0.559,0.411,8.03E-05,1,COPE
SDHB,6.27E-09,1.394494059,0.314,0.195,8.59E-05,1,SDHB
FLNA,7.40E-09,0.720003525,0.314,0.19,0.000101525,1,FLNA
LTA4H,8.32E-09,0.951209006,0.252,0.144,0.000114068,1,LTA4H
AHNAK,1.24E-08,0.697917114,0.378,0.252,0.000170395,1,AHNAK
SSR3,1.30E-08,0.932335153,0.274,0.16,0.00017793,1,SSR3
CHMP1B,2.07E-08,0.738370536,0.358,0.24,0.000283244,1,CHMP1B
BAG1,2.31E-08,0.841150737,0.266,0.158,0.000317332,1,BAG1
NDUFB10,2.43E-08,0.701977991,0.432,0.31,0.000332868,1,NDUFB10
RGS19,2.64E-08,0.487270197,0.374,0.247,0.000362022,1,RGS19
COX5A,2.79E-08,0.753853152,0.468,0.33,0.000382785,1,COX5A
MRPL54,3.59E-08,0.75318596,0.32,0.205,0.000492553,1,MRPL54
METTL9,4.70E-08,0.805422609,0.343,0.232,0.000644735,1,METTL9
IDH3G,6.68E-08,1.135195313,0.289,0.18,0.000915862,1,IDH3G
ZFAND5,7.15E-08,0.855643236,0.26,0.156,0.00098116,1,ZFAND5
UBL5,7.21E-08,0.523922021,0.553,0.422,0.000988989,1,UBL5
MYO1F,8.09E-08,0.653621586,0.335,0.216,0.001108962,1,MYO1F
LRRFIP1,1.10E-07,0.63244156,0.449,0.337,0.001503119,1,LRRFIP1
OXA1L,1.44E-07,0.651086138,0.295,0.184,0.001980588,1,OXA1L
UQCR10,1.67E-07,0.663159451,0.447,0.327,0.002290983,1,UQCR10
SQSTM1,1.87E-07,0.638135845,0.299,0.187,0.002560101,1,SQSTM1
ATP5J2,2.99E-07,0.609390333,0.424,0.303,0.004100858,1,ATP5J2
SH3BGRL,3.82E-07,0.400421626,0.538,0.422,0.005237921,1,SH3BGRL
ARL6IP4,5.11E-07,0.404708132,0.603,0.479,0.007004931,1,ARL6IP4
HN1,5.84E-07,0.496348252,0.339,0.224,0.008006266,1,HN1
NDUFA21,6.60E-07,0.43539014,0.345,0.238,0.009056192,1,NDUFA2
CSNK2B,8.62E-07,0.33778394,0.437,0.321,0.011821088,1,CSNK2B
WASF2,8.75E-07,0.605900562,0.277,0.178,0.011993639,1,WASF2
ATP5EP2,1.30E-06,0.660597857,0.372,0.262,0.01782216,1,ATP5EP2
CKLF,2.10E-06,0.69436271,0.295,0.198,0.028752945,1,CKLF
NDUFB7,2.46E-06,0.555902635,0.376,0.267,0.033708655,1,NDUFB7
ENY2,2.91E-06,0.82912326,0.277,0.178,0.039879237,1,ENY2
FIS1,4.16E-06,0.455605914,0.424,0.312,0.057069607,1,FIS1
PRDX6,4.50E-06,0.469293168,0.374,0.267,0.061675332,1,PRDX6
NEDD8,7.90E-06,0.516806235,0.584,0.484,0.108286569,1,NEDD8
SRSF9,8.82E-06,0.707953303,0.393,0.288,0.120997283,1,SRSF9
C19orf53,1.22E-05,0.363104527,0.501,0.396,0.167307847,1,C19orf53
HADHA,1.30E-05,0.576816481,0.283,0.192,0.178035649,1,HADHA
PGAM1,1.99E-05,0.686188634,0.308,0.221,0.273382001,1,PGAM1
ATF4,2.11E-05,0.527156039,0.314,0.223,0.288772424,1,ATF4
UQCRQ,2.83E-05,0.508082342,0.374,0.275,0.387816189,1,UQCRQ
MRPL20,3.21E-05,0.471880928,0.328,0.238,0.440028255,1,MRPL20
PSME2,3.34E-05,0.440157904,0.613,0.541,0.457618712,1,PSME2
XAF1,3.59E-05,0.574633874,0.281,0.196,0.492221578,1,XAF1
RTN4,3.84E-05,0.400435237,0.32,0.225,0.52658598,1,RTN4
BAX,3.84E-05,0.359984743,0.391,0.288,0.526710269,1,BAX
PCBP1,4.14E-05,0.481906459,0.543,0.441,0.568320927,1,PCBP1
C1orf43,4.45E-05,0.569727629,0.299,0.211,0.6098129,1,C1orf43
C19orf43,5.26E-05,0.253596921,0.696,0.605,0.721210274,1,C19orf43
PSMB7,6.77E-05,0.638300631,0.395,0.298,0.928933393,1,PSMB7
ALKBH7,7.63E-05,0.825227297,0.308,0.221,1,1,ALKBH7
JTB,8.35E-05,0.527700209,0.501,0.411,1,1,JTB
CALM2,8.40E-05,0.374041697,0.601,0.528,1,1,CALM2
CHMP2A,9.15E-05,0.52226328,0.335,0.248,1,1,CHMP2A
ATP5H,0.000122841,0.43715971,0.426,0.342,1,1,ATP5H
SCAND1,0.000141914,0.64372819,0.372,0.286,1,1,SCAND1
POLR2J,0.000177437,0.441807226,0.32,0.24,1,1,POLR2J
NDUFA3,0.000212929,0.491346863,0.299,0.217,1,1,NDUFA3
EIF6,0.000222169,0.432780616,0.293,0.21,1,1,EIF6
PARK7,0.000276051,0.414540982,0.559,0.474,1,1,PARK7
RBX1,0.000305994,0.530699774,0.366,0.276,1,1,RBX1
OSTF1,0.00034652,0.325201265,0.383,0.295,1,1,OSTF1
ATP5G3,0.000349913,0.343271264,0.491,0.419,1,1,ATP5G3
TMEM147,0.000380574,0.420926893,0.254,0.18,1,1,TMEM147
ZNF706,0.00038899,0.45997971,0.38,0.298,1,1,ZNF706
ERGIC3,0.000567286,0.257794694,0.324,0.24,1,1,ERGIC3
ATP5L,0.000715075,0.279393259,0.751,0.688,1,1,ATP5L
APRT,0.000736133,0.356546724,0.647,0.565,1,1,APRT
RAB5C,0.001134407,0.333419685,0.345,0.268,1,1,RAB5C
TRAPPC1,0.001356083,0.341679959,0.528,0.433,1,1,TRAPPC1
NDUFS8,0.001411482,0.45651604,0.297,0.227,1,1,NDUFS8
MSN,0.001614725,0.433623134,0.347,0.272,1,1,MSN
YWHAH,0.001753131,0.331253872,0.252,0.185,1,1,YWHAH
SSR4,0.001895713,0.459065815,0.62,0.562,1,1,SSR4
ATP5B,0.002077785,0.357065355,0.47,0.393,1,1,ATP5B
PSMB2,0.002126018,0.35461354,0.27,0.206,1,1,PSMB2
CRIP1,0.002261241,0.507289962,0.424,0.358,1,1,CRIP1
COX14,0.00246217,0.380851792,0.254,0.187,1,1,COX14
AURKAIP1,0.00293623,0.518220795,0.341,0.276,1,1,AURKAIP1
P4HB,0.003179323,0.387786091,0.289,0.226,1,1,P4HB
LSM10,0.00342076,0.291783433,0.268,0.199,1,1,LSM10
MT-ATP6,0.003667349,0.259545738,0.8,0.73,1,1,MT-ATP6
BUD31,0.004541841,0.411405494,0.314,0.244,1,1,BUD31
POLR1D,0.00458714,0.266578595,0.353,0.282,1,1,POLR1D
PLP2,0.004751376,0.262361104,0.393,0.332,1,1,PLP2
LAMTOR5,0.004806933,0.727415417,0.335,0.268,1,1,LAMTOR5
GUK1,0.004893432,0.261616704,0.545,0.467,1,1,GUK1
SSU72,0.006237159,0.304646338,0.391,0.323,1,1,SSU72
VDAC1,0.008315405,0.32292878,0.262,0.204,1,1,VDAC1
EDF1,0.008624231,0.284005831,0.688,0.633,1,1,EDF1
MTDH,0.009308171,0.251419864,0.333,0.264,1,1,MTDH
CAPZA2,0.009701841,0.361379265,0.258,0.2,1,1,CAPZA2
IL32,2.89E-90,1.307077164,0.947,0.465,3.97E-86,2,IL32
LTB1,1.06E-86,1.331267356,0.981,0.643,1.45E-82,2,LTB
CD3D1,8.79E-71,1.059762005,0.922,0.432,1.21E-66,2,CD3D
IL7R1,3.52E-68,1.437784788,0.75,0.326,4.82E-64,2,IL7R
LDHB1,1.64E-67,0.991192379,0.954,0.614,2.25E-63,2,LDHB
CD21,3.44E-59,1.630607589,0.651,0.245,4.71E-55,2,CD2
AQP3,2.97E-58,2.089320325,0.42,0.111,4.07E-54,2,AQP3
CD3E1,3.32E-54,1.028731673,0.83,0.41,4.56E-50,2,CD3E
TPT11,1.52E-42,0.426661465,0.996,0.984,2.09E-38,2,TPT1
TRAT11,2.92E-42,1.515227687,0.397,0.124,4.00E-38,2,TRAT1
B2M,3.29E-37,0.277975643,1,1,4.52E-33,2,B2M
SPOCK21,6.13E-36,1.298106165,0.429,0.161,8.41E-32,2,SPOCK2
GIMAP71,3.31E-35,0.700279169,0.786,0.486,4.54E-31,2,GIMAP7
RPS121,3.69E-35,0.356726432,1,0.992,5.05E-31,2,RPS12
CD40LG,5.03E-34,1.874084037,0.263,0.07,6.90E-30,2,CD40LG
RPS251,3.29E-33,0.395909908,1,0.977,4.52E-29,2,RPS25
RPS31,3.60E-33,0.339206471,1,0.995,4.94E-29,2,RPS3
TRADD,5.48E-32,1.462672268,0.366,0.136,7.51E-28,2,TRADD
RPSA1,8.27E-32,0.428960012,0.998,0.95,1.13E-27,2,RPSA
PRDX21,6.48E-31,0.935582075,0.529,0.238,8.88E-27,2,PRDX2
TTC39C,4.95E-30,1.460892361,0.3,0.097,6.79E-26,2,TTC39C
CD271,1.24E-29,1.103703128,0.445,0.194,1.70E-25,2,CD27
RPLP01,3.98E-29,0.460855587,0.989,0.943,5.45E-25,2,RPLP0
AES1,6.96E-29,0.82525642,0.742,0.438,9.55E-25,2,AES
MYL12A,9.26E-29,0.47487188,0.977,0.852,1.27E-24,2,MYL12A
ANXA1,2.23E-28,0.717857886,0.805,0.547,3.06E-24,2,ANXA1
Jun 01,2.27E-28,0.630209054,0.899,0.708,3.11E-24,2,JUN
TMEM661,2.99E-28,0.59376749,0.92,0.698,4.10E-24,2,TMEM66
JUNB1,4.74E-28,0.538203778,0.975,0.891,6.50E-24,2,JUNB
RPS291,6.30E-28,0.424049938,0.987,0.914,8.65E-24,2,RPS29
ARHGAP15,2.78E-27,0.974584796,0.483,0.231,3.81E-23,2,ARHGAP15
LCK1,4.65E-27,0.814374481,0.607,0.307,6.38E-23,2,LCK
HINT11,5.30E-27,0.570704192,0.842,0.598,7.27E-23,2,HINT1
EVL1,1.14E-26,0.710273085,0.748,0.485,1.56E-22,2,EVL
NOSIP1,1.25E-26,0.740171331,0.666,0.377,1.71E-22,2,NOSIP
CD3G1,1.48E-26,1.015172634,0.42,0.175,2.04E-22,2,CD3G
LAT1,2.95E-26,1.094130393,0.416,0.177,4.04E-22,2,LAT
RPL361,3.64E-26,0.363445943,0.998,0.95,5.00E-22,2,RPL36
RPS27A1,2.91E-25,0.355871413,1,0.968,3.99E-21,2,RPS27A
MAL1,1.93E-24,1.320721602,0.282,0.101,2.65E-20,2,MAL
HLA-A,3.50E-24,0.317854349,0.998,0.958,4.81E-20,2,HLA-A
RPS181,3.52E-24,0.266074741,0.998,0.997,4.83E-20,2,RPS18
EEF1A11,3.62E-24,0.301536575,1,0.99,4.97E-20,2,EEF1A1
RPS101,6.16E-24,0.318124923,0.998,0.969,8.45E-20,2,RPS10
PLP21,7.08E-24,0.870819751,0.536,0.301,9.71E-20,2,PLP2
VIM1,1.82E-23,0.425161845,0.947,0.769,2.50E-19,2,VIM
ITM2A,4.13E-23,1.061153262,0.269,0.096,5.67E-19,2,ITM2A
OPTN,4.21E-23,1.471822709,0.294,0.11,5.78E-19,2,OPTN
FLT3LG1,1.00E-22,1.010706091,0.336,0.137,1.37E-18,2,FLT3LG
RPS15A1,1.38E-22,0.3004817,0.998,0.984,1.89E-18,2,RPS15A
RPL141,2.26E-22,0.286947138,0.998,0.985,3.10E-18,2,RPL14
RPL27A1,3.18E-22,0.281865989,1,0.988,4.36E-18,2,RPL27A
RPL301,3.83E-22,0.313304552,1,0.981,5.25E-18,2,RPL30
SIT1,3.84E-22,1.197544394,0.292,0.111,5.27E-18,2,SIT1
RPL33,1.22E-21,0.281309632,1,0.995,1.68E-17,2,RPL3
TNFAIP8,2.10E-21,1.00227322,0.441,0.215,2.88E-17,2,TNFAIP8
RPL23A1,3.10E-21,0.281399039,1,0.989,4.25E-17,2,RPL23A
RPLP21,6.30E-21,0.267379314,1,0.991,8.64E-17,2,RPLP2
GSTK1,9.18E-21,0.708048364,0.744,0.511,1.26E-16,2,GSTK1
RGCC1,1.29E-20,0.916634673,0.399,0.193,1.77E-16,2,RGCC
CORO1B,2.65E-20,1.599312945,0.305,0.136,3.63E-16,2,CORO1B
PBXIP1,2.76E-20,1.05358232,0.311,0.13,3.78E-16,2,PBXIP1
RPS271,2.97E-20,0.280285145,1,0.992,4.07E-16,2,RPS27
FXYD5,5.01E-20,0.626730196,0.891,0.702,6.86E-16,2,FXYD5
NPM11,9.01E-20,0.368870936,0.937,0.806,1.24E-15,2,NPM1
SUSD3,1.06E-19,1.454650982,0.277,0.114,1.46E-15,2,SUSD3
RPS201,3.47E-19,0.31831015,0.996,0.945,4.75E-15,2,RPS20
ZFP36L21,6.26E-19,0.595673805,0.819,0.616,8.58E-15,2,ZFP36L2
GIMAP51,7.33E-19,0.837549661,0.462,0.247,1.01E-14,2,GIMAP5
CALM1,7.91E-19,0.472708247,0.834,0.643,1.08E-14,2,CALM1
RPL311,8.78E-19,0.292382927,0.998,0.967,1.20E-14,2,RPL31
ALOX5AP,1.65E-18,0.648708318,0.408,0.197,2.26E-14,2,ALOX5AP
PPP2R5C,5.42E-18,1.061018662,0.405,0.208,7.43E-14,2,PPP2R5C
YWHAQ,8.62E-18,0.831129219,0.464,0.251,1.18E-13,2,YWHAQ
HSPA81,1.29E-17,0.503025827,0.84,0.639,1.77E-13,2,HSPA8
IFITM1,3.17E-17,0.60119581,0.662,0.436,4.34E-13,2,IFITM1
IL2RG,3.40E-17,0.497197175,0.649,0.395,4.66E-13,2,IL2RG
ACAP11,5.33E-17,0.453816056,0.496,0.26,7.31E-13,2,ACAP1
RPL36A1,6.89E-17,0.333809611,0.964,0.895,9.45E-13,2,RPL36A
CD52,1.05E-16,0.344450897,0.979,0.877,1.44E-12,2,CD52
RPSAP581,1.93E-16,0.449440162,0.863,0.708,2.65E-12,2,RPSAP58
GIMAP41,2.76E-16,0.864477879,0.637,0.42,3.79E-12,2,GIMAP4
CRIP11,8.45E-16,0.582107049,0.55,0.331,1.16E-11,2,CRIP1
TNFAIP3,1.70E-15,1.181648119,0.288,0.133,2.33E-11,2,TNFAIP3
PEBP11,2.36E-15,0.674967186,0.553,0.344,3.24E-11,2,PEBP1
CD691,2.40E-15,0.775328909,0.527,0.324,3.29E-11,2,CD69
ARL6IP5,4.41E-15,0.483738101,0.632,0.417,6.05E-11,2,ARL6IP5
